hostname,value,timestamp,chart_family
node_1,24,1706682766,mmcblk0
master,4.6,1706682766,nvme0n1
master,4.6,1706682766,ubuntu--vg-ubuntu--lv
node_2,29.6,1706682766,mmcblk0
node_3,33,1706682766,mmcblk0
node_1,10.4,1706682771,mmcblk0
master,3.2,1706682771,nvme0n1
master,3.2,1706682771,ubuntu--vg-ubuntu--lv
node_2,3.6,1706682771,mmcblk0
node_3,0.8,1706682771,mmcblk0
node_1,47.4,1706682776,mmcblk0
master,2.2,1706682776,nvme0n1
master,2.2,1706682776,ubuntu--vg-ubuntu--lv
node_2,34.8,1706682776,mmcblk0
node_3,41.6,1706682776,mmcblk0
node_1,5.4,1706682781,mmcblk0
master,2.2,1706682781,nvme0n1
master,2.2,1706682781,ubuntu--vg-ubuntu--lv
node_2,19.2,1706682781,mmcblk0
node_3,36.2,1706682781,mmcblk0
node_1,35.4,1706682786,mmcblk0
master,2,1706682786,nvme0n1
master,2,1706682786,ubuntu--vg-ubuntu--lv
node_2,15,1706682786,mmcblk0
node_3,2.2,1706682786,mmcblk0
node_1,55.6,1706682791,mmcblk0
master,3.2,1706682791,nvme0n1
master,3.2,1706682791,ubuntu--vg-ubuntu--lv
node_2,50.4,1706682791,mmcblk0
node_3,24.6,1706682791,mmcblk0
node_1,97.2,1706682796,mmcblk0
master,2.6,1706682796,nvme0n1
master,2.6,1706682796,ubuntu--vg-ubuntu--lv
node_2,75.2,1706682796,mmcblk0
node_3,27.4,1706682796,mmcblk0
node_1,84.6,1706682801,mmcblk0
master,2.6,1706682801,nvme0n1
master,2.6,1706682801,ubuntu--vg-ubuntu--lv
node_2,84.2,1706682801,mmcblk0
node_3,71.4,1706682801,mmcblk0
node_1,31.8,1706682806,mmcblk0
master,2,1706682806,nvme0n1
master,2,1706682806,ubuntu--vg-ubuntu--lv
node_2,95.6,1706682806,mmcblk0
node_3,97,1706682806,mmcblk0
node_1,33.4,1706682811,mmcblk0
master,2.8,1706682811,nvme0n1
master,2.8,1706682811,ubuntu--vg-ubuntu--lv
node_2,94.8,1706682811,mmcblk0
node_3,97.6,1706682811,mmcblk0
node_1,33.6,1706682816,mmcblk0
master,2.8,1706682816,nvme0n1
master,2.8,1706682816,ubuntu--vg-ubuntu--lv
node_2,38.8,1706682816,mmcblk0
node_3,94.6,1706682816,mmcblk0
node_1,18.4,1706682821,mmcblk0
master,2,1706682821,nvme0n1
master,2,1706682821,ubuntu--vg-ubuntu--lv
node_2,61.6,1706682821,mmcblk0
node_3,68,1706682821,mmcblk0
node_1,40.8,1706682826,mmcblk0
master,4.2,1706682826,nvme0n1
master,4,1706682826,ubuntu--vg-ubuntu--lv
node_2,42.2,1706682826,mmcblk0
node_3,65,1706682826,mmcblk0
node_1,58.6,1706682831,mmcblk0
master,1.8,1706682831,nvme0n1
master,1.6,1706682831,ubuntu--vg-ubuntu--lv
node_2,38.6,1706682831,mmcblk0
node_3,66.8,1706682831,mmcblk0
node_1,80.8,1706682836,mmcblk0
master,2.2,1706682836,nvme0n1
master,2.2,1706682836,ubuntu--vg-ubuntu--lv
node_2,14.6,1706682836,mmcblk0
node_3,48.8,1706682836,mmcblk0
node_1,98.6,1706682841,mmcblk0
master,2,1706682841,nvme0n1
master,2,1706682841,ubuntu--vg-ubuntu--lv
node_2,57.2,1706682841,mmcblk0
node_3,42.4,1706682841,mmcblk0
node_1,84,1706682846,mmcblk0
master,2.4,1706682846,nvme0n1
master,2.4,1706682846,ubuntu--vg-ubuntu--lv
node_2,87.4,1706682846,mmcblk0
node_3,28.2,1706682846,mmcblk0
node_1,72.6,1706682851,mmcblk0
master,1.8,1706682851,nvme0n1
master,1.8,1706682851,ubuntu--vg-ubuntu--lv
node_2,73.6,1706682851,mmcblk0
node_3,35.2,1706682851,mmcblk0
node_1,40.8,1706682856,mmcblk0
master,2.4,1706682856,nvme0n1
master,2.4,1706682856,ubuntu--vg-ubuntu--lv
node_2,92,1706682856,mmcblk0
node_3,85.2,1706682856,mmcblk0
node_1,32.4,1706682861,mmcblk0
master,2.8,1706682861,nvme0n1
master,2.8,1706682861,ubuntu--vg-ubuntu--lv
node_2,98.2,1706682861,mmcblk0
node_3,52,1706682861,mmcblk0
node_1,13,1706682866,mmcblk0
master,2.8,1706682866,nvme0n1
master,2.8,1706682866,ubuntu--vg-ubuntu--lv
node_2,99,1706682866,mmcblk0
node_3,80.8,1706682866,mmcblk0
node_1,17.4,1706682871,mmcblk0
master,1.8,1706682871,nvme0n1
master,1.8,1706682871,ubuntu--vg-ubuntu--lv
node_2,99.2,1706682871,mmcblk0
node_3,98.8,1706682871,mmcblk0
node_1,6.2,1706682876,mmcblk0
master,2.6,1706682876,nvme0n1
master,2.6,1706682876,ubuntu--vg-ubuntu--lv
node_2,98.4,1706682876,mmcblk0
node_3,71.2,1706682876,mmcblk0
node_1,16,1706682881,mmcblk0
master,2.4,1706682881,nvme0n1
master,2.4,1706682881,ubuntu--vg-ubuntu--lv
node_2,65.4,1706682881,mmcblk0
node_3,84.8,1706682881,mmcblk0
node_1,3.4,1706682886,mmcblk0
master,2.6,1706682886,nvme0n1
master,2.6,1706682886,ubuntu--vg-ubuntu--lv
node_2,76.2,1706682886,mmcblk0
node_3,97.8,1706682886,mmcblk0
node_1,7.4,1706682891,mmcblk0
master,1.8,1706682891,nvme0n1
master,1.8,1706682891,ubuntu--vg-ubuntu--lv
node_2,84,1706682891,mmcblk0
node_3,90.4,1706682891,mmcblk0
node_1,5.2,1706682896,mmcblk0
master,2.2,1706682896,nvme0n1
master,2.2,1706682896,ubuntu--vg-ubuntu--lv
node_2,51.4,1706682896,mmcblk0
node_3,61.2,1706682896,mmcblk0
node_1,7.6,1706682901,mmcblk0
master,2,1706682901,nvme0n1
master,2,1706682901,ubuntu--vg-ubuntu--lv
node_2,38,1706682901,mmcblk0
node_3,60.4,1706682901,mmcblk0
node_1,4.8,1706682906,mmcblk0
