hostname,value,timestamp,chart_family
master,33.2,1696770706,nvme0n1
master,32.8,1696770706,ubuntu--vg-ubuntu--lv
node_2,27.6,1696770706,mmcblk0
node_3,26.2,1696770706,mmcblk0
node_1,4,1696770706,mmcblk0
master,2.2,1696770711,nvme0n1
master,2.2,1696770711,ubuntu--vg-ubuntu--lv
node_2,5.8,1696770711,mmcblk0
node_3,6.4,1696770711,mmcblk0
node_1,0.8,1696770711,mmcblk0
master,2.8,1696770716,nvme0n1
master,2.8,1696770716,ubuntu--vg-ubuntu--lv
node_2,5.4,1696770716,mmcblk0
node_3,7.2,1696770716,mmcblk0
node_1,15.6,1696770716,mmcblk0
master,7.4,1696770721,nvme0n1
master,7.4,1696770721,ubuntu--vg-ubuntu--lv
node_2,22,1696770721,mmcblk0
node_3,17,1696770721,mmcblk0
node_1,2.4,1696770721,mmcblk0
master,81.6,1696770726,nvme0n1
master,81.6,1696770726,ubuntu--vg-ubuntu--lv
node_2,6.6,1696770726,mmcblk0
node_3,1.2,1696770726,mmcblk0
node_1,1.2,1696770726,mmcblk0
master,63.4,1696770731,nvme0n1
master,63.4,1696770731,ubuntu--vg-ubuntu--lv
node_2,24,1696770731,mmcblk0
node_3,26,1696770731,mmcblk0
node_1,43,1696770731,mmcblk0
master,63.8,1696770736,nvme0n1
master,63.8,1696770736,ubuntu--vg-ubuntu--lv
node_2,42,1696770736,mmcblk0
node_3,41.4,1696770736,mmcblk0
node_1,9,1696770736,mmcblk0
master,24.8,1696770741,nvme0n1
master,24.8,1696770741,ubuntu--vg-ubuntu--lv
node_2,1.6,1696770741,mmcblk0
node_3,6.4,1696770741,mmcblk0
node_1,1.8,1696770741,mmcblk0
master,43.4,1696770746,nvme0n1
master,43.4,1696770746,ubuntu--vg-ubuntu--lv
node_2,3,1696770746,mmcblk0
node_3,4.8,1696770746,mmcblk0
node_1,2.6,1696770746,mmcblk0
master,25,1696770751,nvme0n1
master,25,1696770751,ubuntu--vg-ubuntu--lv
node_2,26.4,1696770751,mmcblk0
node_3,28,1696770751,mmcblk0
node_1,26.8,1696770751,mmcblk0
master,6.6,1696770756,nvme0n1
master,6.6,1696770756,ubuntu--vg-ubuntu--lv
node_2,12,1696770756,mmcblk0
node_3,8.8,1696770756,mmcblk0
node_1,0,1696770756,mmcblk0
master,25.8,1696770761,nvme0n1
master,25.8,1696770761,ubuntu--vg-ubuntu--lv
node_2,2.6,1696770761,mmcblk0
node_3,2,1696770761,mmcblk0
node_1,2,1696770761,mmcblk0
master,6,1696770766,nvme0n1
master,6,1696770766,ubuntu--vg-ubuntu--lv
node_2,10.6,1696770766,mmcblk0
node_3,13.4,1696770766,mmcblk0
node_1,12.4,1696770766,mmcblk0
master,7.4,1696770771,nvme0n1
master,7.4,1696770771,ubuntu--vg-ubuntu--lv
node_2,3.4,1696770771,mmcblk0
node_3,11,1696770771,mmcblk0
node_1,5,1696770771,mmcblk0
master,4.6,1696770776,nvme0n1
master,4.6,1696770776,ubuntu--vg-ubuntu--lv
node_2,4.4,1696770776,mmcblk0
node_3,2.8,1696770776,mmcblk0
node_1,0.2,1696770776,mmcblk0
master,6.6,1696770781,nvme0n1
master,6.6,1696770781,ubuntu--vg-ubuntu--lv
node_2,0.2,1696770781,mmcblk0
node_3,7,1696770781,mmcblk0
node_1,7,1696770781,mmcblk0
master,8.4,1696770786,nvme0n1
master,8.4,1696770786,ubuntu--vg-ubuntu--lv
node_2,8.6,1696770786,mmcblk0
node_3,4.6,1696770786,mmcblk0
node_1,1.4,1696770786,mmcblk0
master,4.4,1696770791,nvme0n1
master,4.4,1696770791,ubuntu--vg-ubuntu--lv
node_2,8.2,1696770791,mmcblk0
node_3,7.6,1696770791,mmcblk0
node_1,5.4,1696770791,mmcblk0
master,6.2,1696770796,nvme0n1
master,6.2,1696770796,ubuntu--vg-ubuntu--lv
node_2,4.4,1696770796,mmcblk0
node_3,2,1696770796,mmcblk0
node_1,4,1696770796,mmcblk0
master,6.4,1696770801,nvme0n1
master,6.4,1696770801,ubuntu--vg-ubuntu--lv
node_2,3.4,1696770801,mmcblk0
node_3,3.8,1696770801,mmcblk0
node_1,1.4,1696770801,mmcblk0
master,5.6,1696770806,nvme0n1
master,5.6,1696770806,ubuntu--vg-ubuntu--lv
node_2,2.2,1696770806,mmcblk0
node_3,6.8,1696770806,mmcblk0
node_1,6.4,1696770806,mmcblk0
master,5.2,1696770811,nvme0n1
master,5.2,1696770811,ubuntu--vg-ubuntu--lv
node_2,4.8,1696770811,mmcblk0
node_3,8.2,1696770811,mmcblk0
node_1,3.6,1696770811,mmcblk0
master,5.6,1696770816,nvme0n1
master,5.6,1696770816,ubuntu--vg-ubuntu--lv
node_2,3,1696770816,mmcblk0
node_3,5.8,1696770816,mmcblk0
node_1,2.4,1696770816,mmcblk0
master,4.6,1696770821,nvme0n1
master,4.6,1696770821,ubuntu--vg-ubuntu--lv
node_2,6.6,1696770821,mmcblk0
node_3,6.4,1696770821,mmcblk0
node_1,4,1696770821,mmcblk0
master,3.4,1696770826,nvme0n1
master,3.4,1696770826,ubuntu--vg-ubuntu--lv
node_2,3.6,1696770826,mmcblk0
node_3,3.4,1696770826,mmcblk0
node_1,3.6,1696770826,mmcblk0
master,3.4,1696770831,nvme0n1
master,3.4,1696770831,ubuntu--vg-ubuntu--lv
node_2,3,1696770831,mmcblk0
node_3,0.4,1696770831,mmcblk0
node_1,6.2,1696770831,mmcblk0
master,4.6,1696770836,nvme0n1
master,4.6,1696770836,ubuntu--vg-ubuntu--lv
node_2,2.6,1696770836,mmcblk0
node_3,0,1696770836,mmcblk0
node_1,3.6,1696770836,mmcblk0
master,4,1696770841,nvme0n1
master,4,1696770841,ubuntu--vg-ubuntu--lv
node_2,2.4,1696770841,mmcblk0
node_3,11.8,1696770841,mmcblk0
node_1,1.8,1696770841,mmcblk0
master,4.6,1696770846,nvme0n1
master,4.6,1696770846,ubuntu--vg-ubuntu--lv
node_2,6.4,1696770846,mmcblk0
node_3,8.2,1696770846,mmcblk0
node_1,0,1696770846,mmcblk0
master,3.2,1696770851,nvme0n1
master,3.2,1696770851,ubuntu--vg-ubuntu--lv
node_2,9.2,1696770851,mmcblk0
node_3,3,1696770851,mmcblk0
node_1,0.2,1696770851,mmcblk0
master,3.6,1696770856,nvme0n1
master,3.6,1696770856,ubuntu--vg-ubuntu--lv
node_2,3.2,1696770856,mmcblk0
node_3,3.8,1696770856,mmcblk0
node_1,0.4,1696770856,mmcblk0
master,3.6,1696770861,nvme0n1
master,3.6,1696770861,ubuntu--vg-ubuntu--lv
node_2,3.6,1696770861,mmcblk0
node_3,4.6,1696770861,mmcblk0
node_1,12.8,1696770861,mmcblk0
master,5,1696770866,nvme0n1
master,4.8,1696770866,ubuntu--vg-ubuntu--lv
node_2,6.6,1696770866,mmcblk0
node_3,2,1696770866,mmcblk0
node_1,3.6,1696770866,mmcblk0
master,4.2,1696770871,nvme0n1
master,4.2,1696770871,ubuntu--vg-ubuntu--lv
node_2,1.6,1696770871,mmcblk0
node_3,2,1696770871,mmcblk0
node_1,1.8,1696770871,mmcblk0
master,3.2,1696770876,nvme0n1
master,3.2,1696770876,ubuntu--vg-ubuntu--lv
node_2,0,1696770876,mmcblk0
node_3,2.4,1696770876,mmcblk0
node_1,3.6,1696770876,mmcblk0
master,2.6,1696770881,nvme0n1
master,2.6,1696770881,ubuntu--vg-ubuntu--lv
node_2,1.6,1696770881,mmcblk0
node_3,0.6,1696770881,mmcblk0
node_1,2.6,1696770881,mmcblk0
master,4.2,1696770886,nvme0n1
master,4.2,1696770886,ubuntu--vg-ubuntu--lv
node_2,8.8,1696770886,mmcblk0
node_3,5.8,1696770886,mmcblk0
node_1,3.2,1696770886,mmcblk0
master,2.4,1696770891,nvme0n1
master,2.4,1696770891,ubuntu--vg-ubuntu--lv
node_2,6.8,1696770891,mmcblk0
node_3,10.2,1696770891,mmcblk0
node_1,0.2,1696770891,mmcblk0
master,4.2,1696770896,nvme0n1
master,4.2,1696770896,ubuntu--vg-ubuntu--lv
node_2,7.2,1696770896,mmcblk0
node_3,4,1696770896,mmcblk0
node_1,0.2,1696770896,mmcblk0
master,4.6,1696770901,nvme0n1
master,4.6,1696770901,ubuntu--vg-ubuntu--lv
node_2,8.4,1696770901,mmcblk0
node_3,10.6,1696770901,mmcblk0
node_1,0.8,1696770901,mmcblk0
master,3.6,1696770906,nvme0n1
master,3.6,1696770906,ubuntu--vg-ubuntu--lv
node_2,4,1696770906,mmcblk0
node_3,1.2,1696770906,mmcblk0
node_1,4.8,1696770906,mmcblk0
master,5,1696770911,nvme0n1
master,5,1696770911,ubuntu--vg-ubuntu--lv
node_2,1.4,1696770911,mmcblk0
node_3,4.8,1696770911,mmcblk0
node_1,0.2,1696770911,mmcblk0
master,3.6,1696770916,nvme0n1
master,3.6,1696770916,ubuntu--vg-ubuntu--lv
node_2,5.6,1696770916,mmcblk0
